1/2/2005	14	31	20	19	34
1/9/2005	8	17	17	11	26
1/16/2005	9	23	18	8	8
1/23/2005	11	22	24	8	8
1/30/2005	9	52	16	9	10
2/6/2005	7	23	21	15	11
2/13/2005	12	18	20	10	12
2/20/2005	8	21	14	17	9
2/27/2005	19	17	18	11	9
3/6/2005	23	20	12	8	9
3/13/2005	11	14	21	16	6
3/20/2005	6	16	15	11	6
3/27/2005	7	18	16	18	8
4/3/2005	11	28	15	13	6
4/10/2005	10	19	16	10	6
4/17/2005	15	21	27	23	5
4/24/2005	14	35	17	11	6
5/1/2005	11	20	20	13	6
5/8/2005	8	16	10	10	7
5/15/2005	9	15	16	11	6
5/22/2005	7	15	18	9	6
5/29/2005	6	28	12	8	5
6/5/2005	12	14	15	10	6
6/12/2005	7	15	10	10	7
6/19/2005	13	12	17	13	7
6/26/2005	9	14	13	10	8
7/3/2005	9	15	15	8	9
7/10/2005	5	21	14	8	9
7/17/2005	5	14	10	6	7
7/24/2005	7	11	7	13	7
7/31/2005	10	46	11	11	7
8/7/2005	7	15	6	11	7
8/14/2005	11	18	13	12	7
8/21/2005	6	17	9	8	13
8/28/2005	8	18	11	10	9
9/4/2005	9	11	10	7	9
9/11/2005	8	18	10	5	9
9/18/2005	5	21	11	11	9
9/25/2005	10	31	16	7	9
10/2/2005	11	18	14	11	8
10/9/2005	9	12	15	13	8
10/16/2005	12	21	13	13	6
10/23/2005	11	15	19	13	8
10/30/2005	7	17	19	8	5
11/6/2005	17	13	15	12	7
11/13/2005	12	19	17	9	4
11/20/2005	8	19	15	8	4
11/27/2005	7	17	14	12	7
12/4/2005	13	18	12	9	5
12/11/2005	9	17	11	10	5
12/18/2005	15	9	14	9	5
12/25/2005	5	12	21	6	5
1/1/2006	7	16	24	10	5
1/8/2006	5	14	26	12	14
1/15/2006	7	12	30	9	4
1/22/2006	6	45	64	10	4
1/29/2006	8	22	45	9	5
2/5/2006	8	32	34	10	4
2/12/2006	17	16	26	9	5
2/19/2006	9	19	30	13	4
2/26/2006	8	20	26	8	5
3/5/2006	6	34	22	9	6
3/12/2006	8	15	24	9	6
3/19/2006	7	11	23	12	5
3/26/2006	4	13	16	14	6
4/2/2006	13	25	23	12	4
4/9/2006	4	13	28	10	4
4/16/2006	6	21	19	5	4
4/23/2006	8	26	18	9	4
4/30/2006	8	15	19	16	8
5/7/2006	4	22	19	10	5
5/14/2006	5	28	20	8	4
5/21/2006	8	13	18	6	6
5/28/2006	7	30	24	8	7
6/4/2006	9	11	19	9	4
6/11/2006	5	17	12	9	4
6/18/2006	13	16	12	5	5
6/25/2006	15	15	13	14	5
7/2/2006	7	10	13	6	5
7/9/2006	6	9	9	6	5
7/16/2006	5	10	10	4	14
7/23/2006	6	11	13	7	10
7/30/2006	8	8	12	3	11
8/6/2006	11	9	14	6	12
8/13/2006	8	12	9	9	14
8/20/2006	9	26	13	7	15
8/27/2006	9	16	13	5	17
9/3/2006	6	21	12	9	9
9/10/2006	29	12	13	11	4
9/17/2006	7	11	15	10	3
9/24/2006	9	19	29	6	6
10/1/2006	6	17	21	12	5
10/8/2006	6	44	17	7	11
10/15/2006	4	15	24	8	16
10/22/2006	6	19	20	8	9
10/29/2006	6	13	14	7	4
11/5/2006	12	15	14	7	6
11/12/2006	14	15	15	8	4
11/19/2006	7	19	13	5	3
11/26/2006	7	9	20	11	3
12/3/2006	12	14	15	6	3
12/10/2006	7	35	16	7	4
12/17/2006	5	8	16	7	4
12/24/2006	5	12	14	8	4
12/31/2006	12	6	15	6	4
1/7/2007	9	11	13	5	4
1/14/2007	8	20	11	9	4
1/21/2007	7	23	11	8	5
1/28/2007	14	36	14	6	4
2/4/2007	24	13	15	6	4
2/11/2007	9	12	12	8	4
2/18/2007	7	11	10	9	2
2/25/2007	9	17	12	13	3
3/4/2007	8	14	9	7	3
3/11/2007	10	17	13	10	4
3/18/2007	9	13	12	8	4
3/25/2007	7	13	12	8	2
4/1/2007	9	13	10	6	3
4/8/2007	6	12	9	7	4
4/15/2007	7	11	12	8	4
4/22/2007	16	21	13	8	3
4/29/2007	5	12	12	9	3
5/6/2007	13	21	11	5	5
5/13/2007	16	14	9	8	2
5/20/2007	15	9	14	5	7
5/27/2007	6	16	10	6	2
6/3/2007	8	12	10	7	3
6/10/2007	11	11	11	6	2
6/17/2007	7	12	9	5	2
6/24/2007	7	9	7	4	3
7/1/2007	6	13	8	5	3
7/8/2007	6	22	9	6	3
7/15/2007	7	7	8	6	3
7/22/2007	7	11	6	6	2
7/29/2007	6	13	8	6	3
8/5/2007	5	11	8	7	2
8/12/2007	7	13	5	5	6
8/19/2007	8	10	8	7	3
8/26/2007	7	12	9	5	3
9/2/2007	13	20	12	6	5
9/9/2007	9	13	11	5	4
9/16/2007	6	11	7	7	5
9/23/2007	6	12	8	9	2
9/30/2007	7	12	16	7	3
10/7/2007	9	19	9	5	3
10/14/2007	27	33	8	8	3
10/21/2007	10	11	12	8	3
10/28/2007	5	10	10	5	3
11/4/2007	8	12	9	6	4
11/11/2007	6	13	13	4	3
11/18/2007	9	13	10	5	2
11/25/2007	5	13	9	5	3
12/2/2007	7	11	8	6	4
12/9/2007	6	36	10	6	4
12/16/2007	4	10	10	6	2
12/23/2007	7	11	7	5	3
12/30/2007	8	18	10	6	3
1/6/2008	6	13	10	7	2
1/13/2008	7	16	11	6	2
1/20/2008	6	10	12	7	3
1/27/2008	6	11	8	7	3
2/3/2008	4	22	13	6	3
2/10/2008	8	12	10	5	2
2/17/2008	6	13	11	9	2
2/24/2008	8	16	10	6	2
3/2/2008	7	11	9	7	10
3/9/2008	11	10	10	7	3
3/16/2008	6	9	10	8	3
3/23/2008	6	15	10	8	2
3/30/2008	6	12	9	15	4
4/6/2008	5	11	12	8	4
4/13/2008	7	22	8	7	3
4/20/2008	9	15	11	6	7
4/27/2008	6	9	10	6	2
5/4/2008	6	10	11	8	4
5/11/2008	4	7	10	7	4
5/18/2008	6	10	10	4	3
5/25/2008	5	9	7	5	4
6/1/2008	6	12	10	5	2
6/8/2008	3	9	8	6	4
6/15/2008	4	13	7	6	4
6/22/2008	6	7	7	4	3
6/29/2008	5	9	8	4	3
7/6/2008	6	7	9	5	3
7/13/2008	5	7	8	4	4
7/20/2008	19	8	6	6	2
7/27/2008	7	7	10	4	2
8/3/2008	7	7	14	6	2
8/10/2008	5	7	9	5	2
8/17/2008	5	10	10	5	2
8/24/2008	5	11	10	4	2
8/31/2008	6	9	8	5	6
9/7/2008	5	10	8	5	3
9/14/2008	9	10	8	4	2
9/21/2008	9	14	12	4	2
9/28/2008	6	15	14	5	3
10/5/2008	6	9	12	5	2
10/12/2008	6	10	10	8	2
10/19/2008	11	16	9	15	3
10/26/2008	4	18	11	9	3
11/2/2008	6	11	12	9	2
11/9/2008	7	13	12	8	2
11/16/2008	10	10	12	8	3
11/23/2008	5	10	15	7	3
11/30/2008	8	13	14	6	2
12/7/2008	7	9	15	7	3
12/14/2008	12	9	22	5	2
12/21/2008	7	12	26	4	2
12/28/2008	7	10	20	4	3
1/4/2009	8	7	29	6	3
1/11/2009	17	19	47	5	9
1/18/2009	8	12	51	3	3
1/25/2009	7	13	45	6	3
2/1/2009	5	11	51	5	3
2/8/2009	6	10	35	5	3
2/15/2009	6	13	32	4	3
2/22/2009	7	11	34	7	3
3/1/2009	11	12	26	5	3
3/8/2009	6	11	31	10	2
3/15/2009	5	10	24	7	2
3/22/2009	7	15	29	6	3
3/29/2009	7	12	24	7	3
4/5/2009	8	10	33	7	2
4/12/2009	6	14	31	6	2
4/19/2009	7	17	33	10	3
4/26/2009	7	14	54	7	2
5/3/2009	11	12	52	7	2
5/10/2009	13	17	48	7	4
5/17/2009	5	13	41	5	2
5/24/2009	8	11	33	6	2
5/31/2009	8	8	31	5	3
6/7/2009	6	10	26	4	3
6/14/2009	6	10	25	5	3
6/21/2009	5	9	30	4	2
6/28/2009	6	12	26	3	2
7/5/2009	6	13	25	4	2
7/12/2009	8	11	31	5	2
7/19/2009	7	9	41	6	3
7/26/2009	5	9	53	5	2
8/2/2009	6	16	55	4	3
8/9/2009	8	11	48	4	2
8/16/2009	8	9	54	7	2
8/23/2009	3	9	54	5	2
8/30/2009	5	14	57	2	2
9/6/2009	5	8	57	4	1
9/13/2009	8	13	60	4	4
9/20/2009	7	8	93	5	2
9/27/2009	6	7	83	8	3
10/4/2009	9	9	89	6	3
10/11/2009	5	11	73	5	3
10/18/2009	7	15	69	6	4
10/25/2009	8	13	65	6	3
11/1/2009	11	12	73	6	3
11/8/2009	11	14	58	4	3
11/15/2009	13	12	61	6	4
11/22/2009	7	12	68	4	3
11/29/2009	7	13	71	6	3
12/6/2009	6	11	63	5	6
12/13/2009	6	12	88	5	5
12/20/2009	7	15	87	3	4
12/27/2009	15	14	100	4	4
1/3/2010	5	11	57	5	5
1/10/2010	5	14	46	5	6
1/17/2010	5	14	55	7	5
1/24/2010	6	15	75	4	4
1/31/2010	6	18	62	5	4
2/7/2010	5	11	56	5	3
2/14/2010	8	11	50	5	3
2/21/2010	6	13	41	6	3
2/28/2010	5	16	40	6	3
3/7/2010	4	11	43	5	4
3/14/2010	6	16	39	6	3
3/21/2010	6	10	42	7	3
3/28/2010	7	14	38	4	1
4/4/2010	5	12	38	7	3
4/11/2010	6	13	40	6	3
4/18/2010	5	13	35	4	4
4/25/2010	8	10	37	5	4
5/2/2010	9	13	41	9	3
5/9/2010	6	10	46	7	4
5/16/2010	4	10	40	7	3
5/23/2010	8	9	37	7	4
5/30/2010	7	12	35	8	4
6/6/2010	8	11	27	6	3
6/13/2010	5	9	27	5	4
6/20/2010	5	14	27	5	3
6/27/2010	4	8	23	5	2
7/4/2010	4	10	23	3	2
7/11/2010	10	9	15	2	2
7/18/2010	4	9	17	4	2
7/25/2010	4	9	16	4	3
8/1/2010	4	6	18	4	3
8/8/2010	4	6	18	4	2
8/15/2010	5	6	17	4	2
8/22/2010	3	8	19	4	3
8/29/2010	4	10	17	5	2
9/5/2010	5	8	16	4	5
9/12/2010	4	12	15	5	4
9/19/2010	3	16	17	6	3
9/26/2010	12	11	15	7	3
10/3/2010	5	11	23	7	3
10/10/2010	7	9	27	6	2
10/17/2010	5	10	28	5	3
10/24/2010	5	11	35	7	2
10/31/2010	9	12	50	6	2
11/7/2010	5	11	48	6	3
11/14/2010	4	17	42	5	3
11/21/2010	5	9	39	5	3
11/28/2010	5	10	45	5	2
12/5/2010	4	10	43	7	2
12/12/2010	4	15	35	5	2
12/19/2010	5	11	50	5	2
12/26/2010	7	9	47	5	2
1/2/2011	6	8	48	4	1
1/9/2011	7	9	37	4	2
1/16/2011	7	13	37	4	2
1/23/2011	5	11	36	5	2
1/30/2011	5	11	30	4	2
2/6/2011	4	12	30	4	3
2/13/2011	4	8	25	5	2
2/20/2011	5	12	29	11	2
2/27/2011	6	10	24	4	2
3/6/2011	5	13	27	5	3
3/13/2011	5	11	21	5	3
3/20/2011	6	17	22	5	2
3/27/2011	4	16	22	5	3
4/3/2011	4	16	22	5	2
4/10/2011	7	11	21	14	3
4/17/2011	5	9	18	12	2
4/24/2011	3	11	18	5	2
5/1/2011	5	9	17	6	2
5/8/2011	4	8	18	7	3
5/15/2011	4	19	18	11	8
5/22/2011	4	12	18	4	13
5/29/2011	6	10	16	5	49
6/5/2011	9	9	15	4	34
6/12/2011	5	10	14	8	19
6/19/2011	5	10	16	5	13
6/26/2011	4	9	13	5	13
7/3/2011	5	10	13	4	9
7/10/2011	4	9	12	4	6
7/17/2011	4	8	10	4	7
7/24/2011	3	9	10	3	5
7/31/2011	4	6	14	4	5
8/7/2011	4	6	14	4	5
8/14/2011	3	7	9	5	7
8/21/2011	3	7	9	5	11
8/28/2011	4	9	10	3	15
9/4/2011	9	8	10	4	16
9/11/2011	4	9	9	4	15
9/18/2011	5	10	10	6	14
9/25/2011	11	8	10	5	10
10/2/2011	5	8	13	4	11
10/9/2011	5	9	12	4	10
10/16/2011	5	14	12	5	8
10/23/2011	6	11	13	6	8
10/30/2011	5	10	15	8	8
11/6/2011	5	9	15	8	8
11/13/2011	4	13	15	7	8
11/20/2011	4	10	15	8	9
11/27/2011	4	13	13	5	9
12/4/2011	5	12	13	4	7
12/11/2011	5	8	11	4	6
12/18/2011	4	11	9	4	6
12/25/2011	5	7	17	3	10
1/1/2012	5	8	14	5	7
1/8/2012	4	8	14	6	7
1/15/2012	4	11	11	4	11
1/22/2012	7	10	11	5	6
1/29/2012	5	9	10	5	6
2/5/2012	5	13	10	6	6
2/12/2012	4	11	10	6	4
2/19/2012	5	15	11	6	4
2/26/2012	4	11	12	7	5
3/4/2012	6	9	16	5	4
3/11/2012	3	8	11	6	5
3/18/2012	3	8	11	4	3
3/25/2012	5	15	11	6	4
4/1/2012	7	8	10	17	3
4/8/2012	4	9	8	12	3
4/15/2012	10	10	8	6	3
4/22/2012	5	9	10	7	3
4/29/2012	4	10	9	7	3
5/6/2012	4	9	12	9	4
5/13/2012	7	9	9	6	4
5/20/2012	3	7	8	5	5
5/27/2012	3	8	8	4	4
6/3/2012	4	15	8	5	4
6/10/2012	11	12	8	4	3
6/17/2012	5	14	8	4	3
6/24/2012	7	11	7	3	3
7/1/2012	5	7	7	3	3
7/8/2012	4	9	9	5	3
7/15/2012	4	6	9	4	3
7/22/2012	4	7	8	4	3
7/29/2012	4	9	7	4	3
8/5/2012	6	9	7	4	3
8/12/2012	4	9	7	4	3
8/19/2012	4	8	6	3	3
8/26/2012	6	10	8	5	3
9/2/2012	4	8	7	4	3
9/9/2012	6	11	8	8	3
9/16/2012	4	9	8	4	4
9/23/2012	4	10	9	5	3
9/30/2012	7	11	10	5	3
10/7/2012	5	14	13	4	4
10/14/2012	3	10	10	5	4
10/21/2012	4	10	10	5	3
10/28/2012	4	9	8	4	4
11/4/2012	4	9	9	6	3
11/11/2012	5	17	10	4	4
11/18/2012	5	13	8	5	4
11/25/2012	4	11	10	5	3
12/2/2012	4	12	12	5	3
12/9/2012	4	10	10	5	3
12/16/2012	4	8	7	4	3
12/23/2012	4	8	9	4	6
12/30/2012	5	13	11	5	5
